,Departamento,DPTO_CCDGO,Codigo_Departamento,Total_votos,votos_en_blanco,votos_no_marcados,votos_nulos,Total_votos_No_Validos,votos_en_blanco_Norm,votos_no_marcados_Norm,votos_nulos_Norm,Total_votos_No_Validos_Norm,Total_Partidos,Total_Partidos_95,Partido_1,Partido_2,Partido_3,Partido_4,Partido_5,ALF_Sabe_Leer,ALF_No_Sabe_Leer,ALF_SININF,ALF_Sabe_Leer_Norm,ALF_No_Sabe_Leer_Norm,ALF_SININF_Norm,EDAD_0-4_anos,EDAD_5-9_anos,EDAD_10-14_anos,EDAD_15-19_anos,EDAD_20-24_anos,EDAD_25-29_anos,EDAD_30-34_anos,EDAD_35-39_anos,EDAD_40-44_anos,EDAD_45-49_anos,EDAD_50-54_anos,EDAD_55-59_anos,EDAD_60-64_anos,EDAD_65-69_anos,EDAD_70-74_anos,EDAD_75-79_anos,EDAD_80-84_anos,EDAD_85_anos_y_mas,EDAD_0-4_anos_Norm_Norm,EDAD_5-9_anos_Norm_Norm,EDAD_10-14_anos_Norm_Norm,EDAD_15-19_anos_Norm_Norm,EDAD_20-24_anos_Norm_Norm,EDAD_25-29_anos_Norm_Norm,EDAD_30-34_anos_Norm_Norm,EDAD_35-39_anos_Norm_Norm,EDAD_40-44_anos_Norm_Norm,EDAD_45-49_anos_Norm_Norm,EDAD_50-54_anos_Norm_Norm,EDAD_55-59_anos_Norm_Norm,EDAD_60-64_anos_Norm_Norm,EDAD_65-69_anos_Norm_Norm,EDAD_70-74_anos_Norm_Norm,EDAD_75-79_anos_Norm_Norm,EDAD_80-84_anos_Norm_Norm,EDAD_85_anos_y_mas_Norm_Norm,ED_Ninguno,ED_Preescolar,ED_Primaria_Completa,ED_Primaria_Incompleta,ED_Secundaria_Completa,ED_Secundaria_Incompleta,ED_Media_Completa,ED_Media_Incompleta,ED_Normal_Completa,ED_Normal_Incompleta,ED_Tecnico,ED_Tecnologico,ED_Universitario,ED_Postgrado,ED_SININF,ED_Ninguno_Norm,ED_Preescolar_Norm,ED_Primaria_Completa_Norm,ED_Primaria_Incompleta_Norm,ED_Secundaria_Completa_Norm,ED_Secundaria_Incompleta_Norm,ED_Media_Completa_Norm,ED_Media_Incompleta_Norm,ED_Normal_Completa_Norm,ED_Normal_Incompleta_Norm,ED_Tecnico_Norm,ED_Tecnologico_Norm,ED_Universitario_Norm,ED_Postgrado_Norm,ED_SININF_Norm,ET_Indigena,ET_Gitano,ET_Raizal,ET_Palenquero,ET_Negro,ET_NOETNIA,ET_SININF,ET_Indigena_Norm,ET_Gitano_Norm,ET_Raizal_Norm,ET_Palenquero_Norm,ET_Negro_Norm,ET_NOETNIA_Norm,ET_SININF_Norm,Total_x,EST_Union_libre_x,EST_Casado_x,EST_Divorciado_x,EST_Separado_de_union_libre_x,EST_Separado_de_matrimonio_x,EST_Viudo_x,EST_Soltero_x,EST_SININF_x,EST_Union_libre_Norm_x,EST_Casado_Norm_x,EST_Divorciado_Norm_x,EST_Separado_de_union_libre_Norm_x,EST_Separado_de_matrimonio_Norm_x,EST_Viudo_Norm_x,EST_Soltero_Norm_x,EST_SININF_Norm_x,Total_y,EST_Union_libre_y,EST_Casado_y,EST_Divorciado_y,EST_Separado_de_union_libre_y,EST_Separado_de_matrimonio_y,EST_Viudo_y,EST_Soltero_y,EST_SININF_y,EST_Union_libre_Norm_y,EST_Casado_Norm_y,EST_Divorciado_Norm_y,EST_Separado_de_union_libre_Norm_y,EST_Separado_de_matrimonio_Norm_y,EST_Viudo_Norm_y,EST_Soltero_Norm_y,EST_SININF_Norm_y,SAN_Inodoro-alcantarillado,SAN_Inodoro-pozo_septico,SAN_Inodoro_sin_conexion,SAN_Letrina,SAN_Inodoro-fuentes_de_agua,SAN_Sin_servicio_sanitario,SAN_SININF,SAN_Inodoro-alcantarillado_Norm,SAN_Inodoro-pozo_septico_Norm,SAN_Inodoro_sin_conexion_Norm,SAN_Letrina_Norm,SAN_Inodoro-fuentes_de_agua_Norm,SAN_Sin_servicio_sanitario_Norm,SAN_SININF_Norm,SER_Energia_electrica_Si,SER_Energia_electrica_No,SER_Acueducto_Si,SER_Acueducto_No,SER_Alcantarillado_Si,SER_Alcantarillado_No,SER_Gas_natural_Si,SER_Gas_natural_No,SER_Gas_natural_Sin_informacion,SER_Basuras_Si,SER_Basuras_No,SER_Internet_Si,SER_Internet_No,SER_Internet_Sin_informacion,SER_Energia_electrica_Si_Norm,SER_Energia_electrica_No_Norm,SER_Acueducto_Si_Norm,SER_Acueducto_No_Norm,SER_Alcantarillado_Si_Norm,SER_Alcantarillado_No_Norm,SER_Gas_natural_Si_Norm,SER_Gas_natural_No_Norm,SER_Gas_natural_Sin_informacion_Norm,SER_Basuras_Si_Norm,SER_Basuras_No_Norm,SER_Internet_Si_Norm,SER_Internet_No_Norm,SER_Internet_Sin_informacion_Norm,SX_Hombre,SX_Mujer,SX_Hombre_Norm,SX_Mujer_Norm,Pareja_joven_sin_hijos,Etapa_inicial,Etapa_de_expansion_,Etapa_de_consolidacion_,Etapa_de_salida_,Pareja_mayor_sin_hijos,Pareja_joven_sin_hijos_Norm,Etapa_inicial_Norm,Etapa_de_expansion__Norm,Etapa_de_consolidacion__Norm,Etapa_de_salida__Norm,Pareja_mayor_sin_hijos_Norm
0,AMAZONAS,91,60,24107,763,496,1843,3102,0.031650558,0.020574937,0.076450823,0.128676318,41,5,PARTIDO CENTRO DEMOCRÁTICO: 0.307,PARTIDO DE LA U: 0.299,PARTIDO LIBERAL COLOMBIANO: 0.242,PARTIDO ALIANZA VERDE: 0.064,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO: 0.027,37149,2324,1101,0.9156,0.0573,0.0271,7071.0,7223.0,7330.0,6916.0,5447.0,5029.0,4507.0,4007.0,3239.0,2830.0,2355.0,1971.0,1482.0,1103.0,656.0,584.0,246.0,202.0,0.114,0.116,0.118,0.111,0.088,0.081,0.072,0.064,0.052,0.045,0.038,0.032,0.024,0.018,0.011,0.009,0.004,0.003,2037.0,1664.0,6912.0,12327.0,2901.0,10776.0,10029.0,2685.0,333.0,351.0,2410.0,701.0,2007.0,723.0,3127.0,0.035,0.028,0.117,0.209,0.049,0.183,0.17,0.046,0.006,0.006,0.041,0.012,0.034,0.012,0.053,35627.0,5.0,13.0,0.0,466.0,23829.0,2258.0,0.5728,0.0001,0.0002,0.0,0.0075,0.3831,0.0363,51278,16759,5506,148,1831,337,1263,20297,5137,0.327,0.107,0.003,0.036,0.007,0.025,0.396,0.1,51278,16759,5506,148,1831,337,1263,20297,5137,0.327,0.107,0.003,0.036,0.007,0.025,0.396,0.1,4867,6121,439,479,720,2194,602,0.316,0.397,0.028,0.031,0.047,0.142,0.039,11954,3468,5962,9460,5241,10181,298,14605,519,7759,7663,788,13972,662,0.775,0.225,0.387,0.613,0.34,0.66,0.019,0.947,0.034,0.503,0.497,0.051,0.906,0.043,34422,31634,0.521,0.479,579.0,1771.0,2591.0,5057.0,2108.0,840.0,0.045,0.137,0.2,0.391,0.163,0.065
1,ANTIOQUIA,5,1,2090665,138726,68124,204345,411195,0.066354964,0.032584847,0.097741628,0.196681439,47,8,PARTIDO CENTRO DEMOCRÁTICO: 0.331,PARTIDO LIBERAL COLOMBIANO: 0.159,PARTIDO CONSERVADOR COLOMBIANO: 0.152,PARTIDO CAMBIO RADICAL: 0.078,PARTIDO ALIANZA VERDE: 0.076,4502034,208834,47149,0.9462,0.0439,0.0099,344666.0,380420.0,448389.0,492951.0,534644.0,521255.0,469661.0,445563.0,364765.0,362449.0,380933.0,338603.0,270579.0,203606.0,144669.0,100968.0,66281.0,61090.0,0.058,0.064,0.076,0.083,0.09,0.088,0.079,0.075,0.061,0.061,0.064,0.057,0.046,0.034,0.024,0.017,0.011,0.01,222981.0,110875.0,657612.0,961812.0,214668.0,738182.0,1274048.0,147392.0,6373.0,22137.0,334847.0,192740.0,523255.0,146248.0,76285.0,0.04,0.02,0.117,0.171,0.038,0.131,0.226,0.026,0.001,0.004,0.059,0.034,0.093,0.026,0.014,37398.0,140.0,572.0,183.0,310688.0,5527564.0,54947.0,0.0063,0.0,0.0001,0.0,0.0524,0.9319,0.0093,5247570,1072324,1230824,49080,131148,156336,228852,2320856,58150,0.204,0.235,0.009,0.025,0.03,0.044,0.442,0.011,5247570,1072324,1230824,49080,131148,156336,228852,2320856,58150,0.204,0.235,0.009,0.025,0.03,0.044,0.442,0.011,1563592,197767,43731,4295,77098,34531,12569,0.809,0.102,0.023,0.002,0.04,0.018,0.007,1910386,23197,1741310,192273,1597608,335975,1194873,726032,12678,1720765,212818,1007573,913146,12864,0.988,0.012,0.901,0.099,0.826,0.174,0.618,0.375,0.007,0.89,0.11,0.521,0.472,0.007,2885383,3089405,0.483,0.517,93562.0,141922.0,218681.0,400753.0,486460.0,157035.0,0.062,0.095,0.146,0.267,0.325,0.105
2,ARAUCA,81,40,90162,4681,3056,6453,14190,0.051917659,0.033894545,0.071571172,0.157383377,39,4,PARTIDO LIBERAL COLOMBIANO: 0.309,PARTIDO CENTRO DEMOCRÁTICO: 0.296,PARTIDO CAMBIO RADICAL: 0.277,COALICION ARAUCA PARA TODOS: 0.064,NO INFO,156833,11171,1514,0.9252,0.0659,0.0089,20888.0,22463.0,23877.0,22866.0,22121.0,20871.0,18255.0,16852.0,14020.0,12953.0,11491.0,9304.0,6905.0,4959.0,3588.0,2649.0,1563.0,1121.0,0.088,0.095,0.101,0.097,0.093,0.088,0.077,0.071,0.059,0.055,0.049,0.039,0.029,0.021,0.015,0.011,0.007,0.005,13125.0,6046.0,30874.0,50064.0,8379.0,31790.0,39161.0,6031.0,244.0,546.0,9390.0,2903.0,12538.0,3349.0,20.0,0.061,0.028,0.144,0.233,0.039,0.148,0.183,0.028,0.001,0.003,0.044,0.014,0.058,0.016,0.0,6229.0,4.0,51.0,13.0,9963.0,218633.0,1853.0,0.0263,0.0,0.0002,0.0001,0.0421,0.9235,0.0078,196019,65138,28429,820,11724,2771,6067,77587,3483,0.332,0.145,0.004,0.06,0.014,0.031,0.396,0.018,196019,65138,28429,820,11724,2771,6067,77587,3483,0.332,0.145,0.004,0.06,0.014,0.031,0.396,0.018,39648,23932,636,464,210,5509,595,0.558,0.337,0.009,0.007,0.003,0.078,0.008,65030,5964,51727,19267,40868,30126,2872,67530,592,48238,22756,9395,61005,594,0.916,0.084,0.729,0.271,0.576,0.424,0.04,0.951,0.008,0.679,0.321,0.132,0.859,0.008,121060,118443,0.505,0.495,3300.0,7910.0,11678.0,18288.0,10800.0,5240.0,0.058,0.138,0.204,0.32,0.189,0.092
3,ATLANTICO,8,3,1125666,52513,34643,105417,192573,0.046650605,0.030775559,0.09364856,0.171074724,46,7,PARTIDO CAMBIO RADICAL: 0.443,PARTIDO CONSERVADOR COLOMBIANO: 0.143,PARTIDO DE LA U: 0.123,PARTIDO LIBERAL COLOMBIANO: 0.112,PARTIDO CENTRO DEMOCRÁTICO: 0.083,1697934,64272,17975,0.9538,0.0361,0.0101,179739.0,186636.0,189878.0,207405.0,205726.0,196103.0,177860.0,171065.0,143334.0,136668.0,134839.0,118245.0,92027.0,68840.0,47896.0,34748.0,23733.0,21692.0,0.077,0.08,0.081,0.089,0.088,0.084,0.076,0.073,0.061,0.058,0.058,0.051,0.039,0.029,0.02,0.015,0.01,0.009,69822.0,54508.0,215995.0,292320.0,89111.0,264309.0,554614.0,69678.0,2575.0,6205.0,174756.0,47435.0,250552.0,43076.0,27396.0,0.032,0.025,0.1,0.135,0.041,0.122,0.256,0.032,0.001,0.003,0.081,0.022,0.116,0.02,0.013,39045.0,101.0,470.0,851.0,138770.0,2133725.0,23472.0,0.0167,0.0,0.0002,0.0004,0.0594,0.9132,0.01,1975614,540412,443779,10687,101061,41118,74039,743110,21408,0.274,0.225,0.005,0.051,0.021,0.037,0.376,0.011,1975614,540412,443779,10687,101061,41118,74039,743110,21408,0.274,0.225,0.005,0.051,0.021,0.037,0.376,0.011,503712,74413,1982,1397,2026,11123,3526,0.842,0.124,0.003,0.002,0.003,0.019,0.006,591697,6482,576711,21468,511207,86972,535085,59552,3542,565186,32993,274001,320552,3626,0.989,0.011,0.964,0.036,0.855,0.145,0.895,0.1,0.006,0.945,0.055,0.458,0.536,0.006,1140357,1201908,0.487,0.513,24163.0,57870.0,84060.0,151306.0,168550.0,46253.0,0.045,0.109,0.158,0.284,0.317,0.087
4,BOGOTA D.C.,11,16,2799770,286407,48728,247965,583100,0.102296617,0.017404287,0.088566204,0.208267108,47,9,PARTIDO CENTRO DEMOCRÁTICO: 0.213,PARTIDO ALIANZA VERDE: 0.195,"COALICION LISTA DE LA DECENCIA (ASI,UP,MAIS): 0.107",PARTIDO CAMBIO RADICAL: 0.098,PARTIDO LIBERAL COLOMBIANO: 0.076,5634570,74713,108975,0.9684,0.0128,0.0187,411396.0,447355.0,472531.0,551292.0,691824.0,675619.0,605291.0,571831.0,477850.0,451720.0,451485.0,399119.0,309838.0,226344.0,158075.0,111397.0,73300.0,63273.0,0.058,0.063,0.066,0.077,0.097,0.094,0.085,0.08,0.067,0.063,0.063,0.056,0.043,0.032,0.022,0.016,0.01,0.009,111390.0,140735.0,633749.0,669227.0,249880.0,650850.0,1590176.0,163159.0,5257.0,22797.0,499767.0,240571.0,1213555.0,416430.0,161781.0,0.016,0.021,0.094,0.099,0.037,0.096,0.235,0.024,0.001,0.003,0.074,0.036,0.179,0.062,0.024,18560.0,571.0,1046.0,218.0,65069.0,6928507.0,135569.0,0.0026,0.0001,0.0001,0.0,0.0091,0.9691,0.019,6321329,1427676,1371179,73982,247438,164822,226242,2686010,123980,0.226,0.217,0.012,0.039,0.026,0.036,0.425,0.02,6321329,1427676,1371179,73982,247438,164822,226242,2686010,123980,0.226,0.217,0.012,0.039,0.026,0.036,0.425,0.02,2287247,20782,1826,257,4537,1310,29231,0.975,0.009,0.001,0.0,0.002,0.001,0.012,2339400,5790,2332920,12270,2325515,19675,2183785,131835,29570,2329993,15197,1748648,566617,29925,0.998,0.002,0.995,0.005,0.992,0.008,0.931,0.056,0.013,0.994,0.006,0.746,0.242,0.013,3433586,3747883,0.478,0.522,128079.0,193476.0,280997.0,487132.0,578681.0,173970.0,0.07,0.105,0.153,0.264,0.314,0.094
5,BOLIVAR,13,5,782184,30647,26854,73391,130892,0.039181318,0.034332075,0.093828306,0.1673417,43,6,PARTIDO CONSERVADOR COLOMBIANO: 0.275,PARTIDO CAMBIO RADICAL: 0.257,PARTIDO LIBERAL COLOMBIANO: 0.147,PARTIDO DE LA U: 0.118,PARTIDO CENTRO DEMOCRÁTICO: 0.087,1272376,107344,10425,0.9153,0.0772,0.0075,161228.0,174875.0,177208.0,175579.0,163862.0,153483.0,137523.0,129187.0,111688.0,106783.0,102596.0,86813.0,68977.0,52697.0,36956.0,28148.0,18288.0,17565.0,0.085,0.092,0.093,0.092,0.086,0.081,0.072,0.068,0.059,0.056,0.054,0.046,0.036,0.028,0.019,0.015,0.01,0.009,107699.0,45590.0,195487.0,316262.0,72579.0,251746.0,375463.0,57561.0,1950.0,5643.0,106725.0,41444.0,127634.0,23473.0,18865.0,0.062,0.026,0.112,0.181,0.042,0.144,0.215,0.033,0.001,0.003,0.061,0.024,0.073,0.013,0.011,5199.0,31.0,571.0,3988.0,314681.0,1567113.0,11873.0,0.0027,0.0,0.0003,0.0021,0.1653,0.8233,0.0062,1573107,529991,256049,4882,111829,21126,52780,581952,14498,0.337,0.163,0.003,0.071,0.013,0.034,0.37,0.009,1573107,529991,256049,4882,111829,21126,52780,581952,14498,0.337,0.163,0.003,0.071,0.013,0.034,0.37,0.009,254361,185116,5455,6645,3189,51816,2587,0.5,0.364,0.011,0.013,0.006,0.102,0.005,482243,26926,400728,108441,259262,249907,355014,151530,2625,362286,146883,134641,371856,2672,0.947,0.053,0.787,0.213,0.509,0.491,0.697,0.298,0.005,0.712,0.288,0.264,0.73,0.005,947598,961862,0.496,0.504,20450.0,55642.0,77923.0,132261.0,116787.0,47328.0,0.045,0.124,0.173,0.294,0.259,0.105
6,BOYACA,15,7,493175,43457,11982,44196,99635,0.088116794,0.024295635,0.089615248,0.202027678,45,7,PARTIDO ALIANZA VERDE: 0.197,PARTIDO LIBERAL COLOMBIANO: 0.157,PARTIDO CAMBIO RADICAL: 0.152,PARTIDO CENTRO DEMOCRÁTICO: 0.134,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.109,812915,49800,8823,0.9327,0.0571,0.0101,72493.0,84303.0,96156.0,99812.0,88718.0,78455.0,75900.0,78143.0,71843.0,70010.0,67717.0,61303.0,52041.0,41691.0,31243.0,24453.0,16736.0,13473.0,0.064,0.075,0.086,0.089,0.079,0.07,0.067,0.069,0.064,0.062,0.06,0.055,0.046,0.037,0.028,0.022,0.015,0.012,49528.0,23222.0,155874.0,223755.0,45279.0,124475.0,196177.0,29077.0,976.0,3299.0,42356.0,22887.0,94742.0,34895.0,16598.0,0.047,0.022,0.147,0.21,0.043,0.117,0.185,0.027,0.001,0.003,0.04,0.022,0.089,0.033,0.016,6877.0,17.0,62.0,16.0,3880.0,1103278.0,10360.0,0.0061,0.0,0.0001,0.0,0.0035,0.9811,0.0092,978726,190098,269600,6884,22413,22402,49956,405521,11852,0.194,0.275,0.007,0.023,0.023,0.051,0.414,0.012,978726,190098,269600,6884,22413,22402,49956,405521,11852,0.194,0.275,0.007,0.023,0.023,0.051,0.414,0.012,226936,101767,17279,1377,3826,14449,3477,0.615,0.276,0.047,0.004,0.01,0.039,0.009,358502,10609,315674,53437,233357,135754,191122,174513,3476,236721,132390,90750,274840,3521,0.971,0.029,0.855,0.145,0.632,0.368,0.518,0.473,0.009,0.641,0.359,0.246,0.745,0.01,559084,576614,0.492,0.508,9099.0,25496.0,46561.0,87248.0,75192.0,42074.0,0.032,0.089,0.163,0.305,0.263,0.147
7,CALDAS,17,9,409721,31734,13560,44016,89310,0.077452706,0.033095692,0.107429202,0.217977599,46,9,PARTIDO LIBERAL COLOMBIANO: 0.205,PARTIDO DE LA U: 0.184,PARTIDO CENTRO DEMOCRÁTICO: 0.171,PARTIDO CAMBIO RADICAL: 0.106,PARTIDO CONSERVADOR COLOMBIANO: 0.105,702054,37174,5573,0.9426,0.0499,0.0075,49121.0,55484.0,65378.0,73357.0,73656.0,68896.0,62806.0,64443.0,56766.0,59658.0,62151.0,58730.0,50938.0,39354.0,28599.0,20377.0,13705.0,11365.0,0.054,0.061,0.071,0.08,0.081,0.075,0.069,0.07,0.062,0.065,0.068,0.064,0.056,0.043,0.031,0.022,0.015,0.012,36039.0,15674.0,113818.0,175709.0,33476.0,114017.0,184452.0,22341.0,1548.0,2278.0,41376.0,21545.0,77598.0,24516.0,9771.0,0.041,0.018,0.13,0.201,0.038,0.13,0.211,0.026,0.002,0.003,0.047,0.025,0.089,0.028,0.011,55632.0,37.0,107.0,30.0,14447.0,837707.0,6824.0,0.0608,0.0,0.0001,0.0,0.0158,0.9157,0.0075,818410,176244,198080,8655,25498,26242,43925,333227,6539,0.215,0.242,0.011,0.031,0.032,0.054,0.407,0.008,818410,176244,198080,8655,25498,26242,43925,333227,6539,0.215,0.242,0.011,0.031,0.032,0.054,0.407,0.008,241415,40454,5671,1535,10747,2768,1919,0.793,0.133,0.019,0.005,0.035,0.009,0.006,300623,3886,270261,34248,247395,57114,191171,111351,1987,249435,55074,130032,172438,2039,0.987,0.013,0.888,0.112,0.812,0.188,0.628,0.366,0.007,0.819,0.181,0.427,0.566,0.007,447499,475973,0.485,0.515,11550.0,18760.0,31035.0,60002.0,79212.0,33995.0,0.049,0.08,0.132,0.256,0.338,0.145
8,CAQUETA,18,44,114190,6063,3722,8881,18666,0.053095718,0.032594798,0.077773886,0.163464401,40,5,PARTIDO LIBERAL COLOMBIANO: 0.331,PARTIDO CENTRO DEMOCRÁTICO: 0.243,PARTIDO ALIANZA SOCIAL INDEPENDIENTE: 0.204,PARTIDO POLITICO MIRA: 0.114,PARTIDO SOMOS: 0.048,227841,17088,3428,0.9174,0.0688,0.0138,29447.0,33658.0,36880.0,35297.0,31507.0,28605.0,25294.0,23565.0,20274.0,18898.0,17084.0,14057.0,10871.0,8044.0,5866.0,4202.0,2702.0,2091.0,0.085,0.097,0.106,0.101,0.09,0.082,0.073,0.068,0.058,0.054,0.049,0.04,0.031,0.023,0.017,0.012,0.008,0.006,17844.0,8964.0,45238.0,84943.0,14046.0,48719.0,53274.0,8886.0,334.0,1024.0,8842.0,3170.0,18462.0,6130.0,10238.0,0.054,0.027,0.137,0.257,0.043,0.148,0.161,0.027,0.001,0.003,0.027,0.01,0.056,0.019,0.031,8402.0,20.0,30.0,14.0,4947.0,324063.0,10866.0,0.0241,0.0001,0.0001,0.0,0.0142,0.9303,0.0312,295758,91704,46417,1353,16041,5076,10280,112018,12869,0.31,0.157,0.005,0.054,0.017,0.035,0.379,0.044,295758,91704,46417,1353,16041,5076,10280,112018,12869,0.31,0.157,0.005,0.054,0.017,0.035,0.379,0.044,70401,26162,1950,515,2905,6749,1843,0.637,0.237,0.018,0.005,0.026,0.061,0.017,93242,17283,80362,30163,72630,37895,40608,67966,1951,80237,30288,16740,91374,2411,0.844,0.156,0.727,0.273,0.657,0.343,0.367,0.615,0.018,0.726,0.274,0.151,0.827,0.022,182378,177224,0.507,0.493,4816.0,11030.0,17512.0,28744.0,14419.0,9033.0,0.056,0.129,0.205,0.336,0.169,0.106
9,CASANARE,85,46,153143,8604,3647,11886,24137,0.056182783,0.023814343,0.077613734,0.15761086,43,5,PARTIDO CENTRO DEMOCRÁTICO: 0.268,PARTIDO ALIANZA VERDE: 0.266,PARTIDO LIBERAL COLOMBIANO: 0.192,PARTIDO CAMBIO RADICAL: 0.175,PARTIDO DE LA U: 0.029,258484,13502,2771,0.9408,0.0491,0.0101,31081.0,33495.0,35295.0,35025.0,34224.0,32564.0,30986.0,28760.0,25177.0,22300.0,18889.0,14866.0,11242.0,7564.0,5403.0,3690.0,2367.0,1700.0,0.083,0.089,0.094,0.093,0.091,0.087,0.083,0.077,0.067,0.06,0.05,0.04,0.03,0.02,0.014,0.01,0.006,0.005,14502.0,9344.0,49490.0,70296.0,15545.0,49021.0,70217.0,10533.0,230.0,828.0,14559.0,5615.0,25899.0,6900.0,3.0,0.042,0.027,0.144,0.205,0.045,0.143,0.205,0.031,0.001,0.002,0.042,0.016,0.076,0.02,0.0,6429.0,11.0,28.0,13.0,5977.0,358837.0,3333.0,0.0172,0.0,0.0001,0.0,0.016,0.9578,0.0089,314966,97528,54830,1528,16346,5776,9741,123626,5591,0.31,0.174,0.005,0.052,0.018,0.031,0.393,0.018,314966,97528,54830,1528,16346,5776,9741,123626,5591,0.31,0.174,0.005,0.052,0.018,0.031,0.393,0.018,86128,28680,640,363,198,3079,1091,0.717,0.239,0.005,0.003,0.002,0.026,0.009,112348,7831,95984,24195,87851,32328,90065,29004,1110,94829,25350,30308,88743,1128,0.935,0.065,0.799,0.201,0.731,0.269,0.749,0.241,0.009,0.789,0.211,0.252,0.738,0.009,192020,187872,0.505,0.495,5543.0,12819.0,19633.0,30987.0,16230.0,9573.0,0.058,0.135,0.207,0.327,0.171,0.101
