CODIGO,DEPARTAMENTO,EDAD_0-4_anos,EDAD_5-9_anos,EDAD_10-14_anos,EDAD_15-19_anos,EDAD_20-24_anos,EDAD_25-29_anos,EDAD_30-34_anos,EDAD_35-39_anos,EDAD_40-44_anos,EDAD_45-49_anos,EDAD_50-54_anos,EDAD_55-59_anos,EDAD_60-64_anos,EDAD_65-69_anos,EDAD_70-74_anos,EDAD_75-79_anos,EDAD_80-84_anos,EDAD_85_anos_y_mas,EDAD_0-4_anos_Norm_Norm,EDAD_5-9_anos_Norm_Norm,EDAD_10-14_anos_Norm_Norm,EDAD_15-19_anos_Norm_Norm,EDAD_20-24_anos_Norm_Norm,EDAD_25-29_anos_Norm_Norm,EDAD_30-34_anos_Norm_Norm,EDAD_35-39_anos_Norm_Norm,EDAD_40-44_anos_Norm_Norm,EDAD_45-49_anos_Norm_Norm,EDAD_50-54_anos_Norm_Norm,EDAD_55-59_anos_Norm_Norm,EDAD_60-64_anos_Norm_Norm,EDAD_65-69_anos_Norm_Norm,EDAD_70-74_anos_Norm_Norm,EDAD_75-79_anos_Norm_Norm,EDAD_80-84_anos_Norm_Norm,EDAD_85_anos_y_mas_Norm_Norm
05,Antioquia,344666,380420,448389,492951,534644,521255,469661,445563,364765,362449,380933,338603,270579,203606,144669,100968,66281,61090,0.058,0.064,0.076,0.083,0.090,0.088,0.079,0.075,0.061,0.061,0.064,0.057,0.046,0.034,0.024,0.017,0.011,0.010
08,Atlantico,179739,186636,189878,207405,205726,196103,177860,171065,143334,136668,134839,118245,92027,68840,47896,34748,23733,21692,0.077,0.080,0.081,0.089,0.088,0.084,0.076,0.073,0.061,0.058,0.058,0.051,0.039,0.029,0.020,0.015,0.010,0.009
11,"Bogota,_D.C.",411396,447355,472531,551292,691824,675619,605291,571831,477850,451720,451485,399119,309838,226344,158075,111397,73300,63273,0.058,0.063,0.066,0.077,0.097,0.094,0.085,0.080,0.067,0.063,0.063,0.056,0.043,0.032,0.022,0.016,0.010,0.009
13,Bolivar,161228,174875,177208,175579,163862,153483,137523,129187,111688,106783,102596,86813,68977,52697,36956,28148,18288,17565,0.085,0.092,0.093,0.092,0.086,0.081,0.072,0.068,0.059,0.056,0.054,0.046,0.036,0.028,0.019,0.015,0.010,0.009
15,Boyaca,72493,84303,96156,99812,88718,78455,75900,78143,71843,70010,67717,61303,52041,41691,31243,24453,16736,13473,0.064,0.075,0.086,0.089,0.079,0.070,0.067,0.069,0.064,0.062,0.060,0.055,0.046,0.037,0.028,0.022,0.015,0.012
17,Caldas,49121,55484,65378,73357,73656,68896,62806,64443,56766,59658,62151,58730,50938,39354,28599,20377,13705,11365,0.054,0.061,0.071,0.080,0.081,0.075,0.069,0.070,0.062,0.065,0.068,0.064,0.056,0.043,0.031,0.022,0.015,0.012
18,Caqueta,29447,33658,36880,35297,31507,28605,25294,23565,20274,18898,17084,14057,10871,8044,5866,4202,2702,2091,0.085,0.097,0.106,0.101,0.090,0.082,0.073,0.068,0.058,0.054,0.049,0.040,0.031,0.023,0.017,0.012,0.008,0.006
19,Cauca,95758,102697,108324,114570,114253,101715,93193,89832,73648,67032,62801,55934,45588,36164,27289,21002,13917,11817,0.078,0.083,0.088,0.093,0.092,0.082,0.075,0.073,0.060,0.054,0.051,0.045,0.037,0.029,0.022,0.017,0.011,0.010
20,Cesar,103123,110826,111412,107802,96664,90261,79921,74385,63932,58393,51602,42253,32339,25810,17643,12449,8036,6732,0.094,0.101,0.102,0.099,0.088,0.083,0.073,0.068,0.058,0.053,0.047,0.039,0.030,0.024,0.016,0.011,0.007,0.006
23,Cordoba,124297,141365,155355,149744,131569,117108,105944,103037,92130,89290,83460,71367,57000,42150,33587,24359,16595,13716,0.080,0.091,0.100,0.096,0.085,0.075,0.068,0.066,0.059,0.058,0.054,0.046,0.037,0.027,0.022,0.016,0.011,0.009
