CODIGO,DEPARTAMENTO,ED_Ninguno,ED_Preescolar,ED_Primaria_Completa,ED_Primaria_Incompleta,ED_Secundaria_Completa,ED_Secundaria_Incompleta,ED_Media_Completa,ED_Media_Incompleta,ED_Normal_Completa,ED_Normal_Incompleta,ED_Tecnico,ED_Tecnologico,ED_Universitario,ED_Postgrado,ED_SININF,ED_Ninguno_Norm,ED_Preescolar_Norm,ED_Primaria_Completa_Norm,ED_Primaria_Incompleta_Norm,ED_Secundaria_Completa_Norm,ED_Secundaria_Incompleta_Norm,ED_Media_Completa_Norm,ED_Media_Incompleta_Norm,ED_Normal_Completa_Norm,ED_Normal_Incompleta_Norm,ED_Tecnico_Norm,ED_Tecnologico_Norm,ED_Universitario_Norm,ED_Postgrado_Norm,ED_SININF_Norm
5,Antioquia,222981,110875,657612,961812,214668,738182,1274048,147392,6373,22137,334847,192740,523255,146248,76285,0.040,0.020,0.117,0.171,0.038,0.131,0.226,0.026,0.001,0.004,0.059,0.034,0.093,0.026,0.014
8,Atlantico,69822,54508,215995,292320,89111,264309,554614,69678,2575,6205,174756,47435,250552,43076,27396,0.032,0.025,0.100,0.135,0.041,0.122,0.256,0.032,0.001,0.003,0.081,0.022,0.116,0.020,0.013
11,"Bogota,_D.C.",111390,140735,633749,669227,249880,650850,1590176,163159,5257,22797,499767,240571,1213555,416430,161781,0.016,0.021,0.094,0.099,0.037,0.096,0.235,0.024,0.001,0.003,0.074,0.036,0.179,0.062,0.024
13,Bolivar,107699,45590,195487,316262,72579,251746,375463,57561,1950,5643,106725,41444,127634,23473,18865,0.062,0.026,0.112,0.181,0.042,0.144,0.215,0.033,0.001,0.003,0.061,0.024,0.073,0.013,0.011
15,Boyaca,49528,23222,155874,223755,45279,124475,196177,29077,976,3299,42356,22887,94742,34895,16598,0.047,0.022,0.147,0.210,0.043,0.117,0.185,0.027,0.001,0.003,0.040,0.022,0.089,0.033,0.016
17,Caldas,36039,15674,113818,175709,33476,114017,184452,22341,1548,2278,41376,21545,77598,24516,9771,0.041,0.018,0.130,0.201,0.038,0.130,0.211,0.026,0.002,0.003,0.047,0.025,0.089,0.028,0.011
18,Caqueta,17844,8964,45238,84943,14046,48719,53274,8886,334,1024,8842,3170,18462,6130,10238,0.054,0.027,0.137,0.257,0.043,0.148,0.161,0.027,0.001,0.003,0.027,0.010,0.056,0.019,0.031
19,Cauca,56673,26564,155431,297587,45009,146920,219492,32197,1799,3599,42413,18459,65455,18944,17057,0.049,0.023,0.135,0.259,0.039,0.128,0.191,0.028,0.002,0.003,0.037,0.016,0.057,0.017,0.015
20,Cesar,72536,31214,110511,193250,37508,136125,199106,31325,1197,3178,61116,16562,73727,14177,13869,0.073,0.031,0.111,0.194,0.038,0.137,0.200,0.031,0.001,0.003,0.061,0.017,0.074,0.014,0.014
23,Cordoba,129392,37749,174845,280698,58670,201188,274106,47729,1666,3167,75723,20004,93962,18724,13610,0.090,0.026,0.122,0.196,0.041,0.141,0.192,0.033,0.001,0.002,0.053,0.014,0.066,0.013,0.010
25,Cundinamarca,74710,59855,360813,423910,111402,315749,601734,69890,2330,8077,158170,69234,255370,57050,40494,0.029,0.023,0.138,0.162,0.043,0.121,0.231,0.027,0.001,0.003,0.061,0.027,0.098,0.022,0.016
27,Choco,35183,11653,35348,100949,14854,56201,56316,12120,1365,1729,11404,2941,28104,5869,32571,0.087,0.029,0.087,0.248,0.037,0.138,0.139,0.030,0.003,0.004,0.028,0.007,0.069,0.014,0.080
41,Huila,39808,24010,140681,211823,39903,126809,175448,23977,626,1950,29744,13970,68716,17970,13664,0.043,0.026,0.151,0.228,0.043,0.136,0.189,0.026,0.001,0.002,0.032,0.015,0.074,0.019,0.015
44,La_Guajira,101501,25434,69393,170930,24930,102730,108273,19751,1017,1794,29350,8813,45254,6559,12171,0.139,0.035,0.095,0.235,0.034,0.141,0.149,0.027,0.001,0.002,0.040,0.012,0.062,0.009,0.017
47,Magdalena,82711,32887,124770,226095,48566,175020,232160,39958,1412,2233,65621,15051,76740,14655,14016,0.072,0.029,0.108,0.196,0.042,0.152,0.202,0.035,0.001,0.002,0.057,0.013,0.067,0.013,0.012
50,Meta,33678,19628,110860,158589,33877,115319,177838,23358,887,2400,45674,14664,73946,17737,21983,0.040,0.023,0.130,0.186,0.040,0.136,0.209,0.027,0.001,0.003,0.054,0.017,0.087,0.021,0.026
52,Narino,71853,23738,192468,322372,40145,141747,226035,31699,1317,3139,38519,13745,87139,24021,29532,0.058,0.019,0.154,0.258,0.032,0.114,0.181,0.025,0.001,0.003,0.031,0.011,0.070,0.019,0.024
54,Norte_de_Santander,70766,29794,173365,256577,51517,164934,247590,33710,1538,2514,46639,19825,106814,23370,17725,0.057,0.024,0.139,0.206,0.041,0.132,0.199,0.027,0.001,0.002,0.037,0.016,0.086,0.019,0.014
63,Quindio,19137,7271,56390,79966,19280,66732,113263,13693,361,1554,23277,11826,50336,13250,6369,0.040,0.015,0.117,0.166,0.040,0.138,0.235,0.028,0.001,0.003,0.048,0.024,0.104,0.027,0.013
66,Risaralda,30684,14091,98609,146083,31606,106032,173477,21591,600,1709,39993,17227,80480,20770,9292,0.039,0.018,0.124,0.184,0.040,0.134,0.219,0.027,0.001,0.002,0.050,0.022,0.102,0.026,0.012
68,Santander,70664,42077,256010,331804,66769,209945,421542,43937,1763,4414,88253,61008,195793,52150,7,0.038,0.023,0.139,0.180,0.036,0.114,0.228,0.024,0.001,0.002,0.048,0.033,0.106,0.028,0.000
70,Sucre,75637,21953,94087,157031,32339,111319,151635,25163,1673,1650,37848,9276,52952,11377,60,0.096,0.028,0.120,0.200,0.041,0.142,0.193,0.032,0.002,0.002,0.048,0.012,0.068,0.015,0.000
73,Tolima,58496,21669,162910,234218,45667,150729,235615,30480,1470,3181,45137,24376,94773,24120,55,0.052,0.019,0.144,0.207,0.040,0.133,0.208,0.027,0.001,0.003,0.040,0.022,0.084,0.021,0.000
76,Valle_del_Cauca,111703,65497,407570,539112,144166,464182,895239,97290,3487,11703,225721,102457,371134,83581,53,0.032,0.019,0.116,0.153,0.041,0.132,0.254,0.028,0.001,0.003,0.064,0.029,0.105,0.024,0.000
81,Arauca,13125,6046,30874,50064,8379,31790,39161,6031,244,546,9390,2903,12538,3349,20,0.061,0.028,0.144,0.233,0.039,0.148,0.183,0.028,0.001,0.003,0.044,0.014,0.058,0.016,0.000
85,Casanare,14502,9344,49490,70296,15545,49021,70217,10533,230,828,14559,5615,25899,6900,3,0.042,0.027,0.144,0.205,0.045,0.143,0.205,0.031,0.001,0.002,0.042,0.016,0.076,0.020,0.000
86,Putumayo,11058,5968,34923,63808,12247,38428,48190,7807,359,533,9544,5115,13162,4283,52,0.043,0.023,0.137,0.250,0.048,0.150,0.189,0.031,0.001,0.002,0.037,0.020,0.052,0.017,0.000
88,"Archipielago_de_San_Andres,_Providencia_y_Santa_Catalina",504,848,3396,4657,2421,7111,11701,1608,29,135,4434,1700,4666,944,0,0.011,0.019,0.077,0.105,0.055,0.161,0.265,0.036,0.001,0.003,0.100,0.039,0.106,0.021,0.000
88,"Archipielago_de_San_Andres,_Providencia_y_Santa_Catalina",2037,1664,6912,12327,2901,10776,10029,2685,333,351,2410,701,2007,723,103,0.036,0.030,0.124,0.220,0.052,0.193,0.179,0.048,0.006,0.006,0.043,0.013,0.036,0.013,0.002
91,Amazonas,2037,1664,6912,12327,2901,10776,10029,2685,333,351,2410,701,2007,723,3127,0.035,0.028,0.117,0.209,0.049,0.183,0.170,0.046,0.006,0.006,0.041,0.012,0.034,0.012,0.053
94,Guainia,2545,2179,4775,13122,1495,6706,3046,1010,33,79,1064,634,1121,461,44,0.066,0.057,0.125,0.342,0.039,0.175,0.080,0.026,0.001,0.002,0.028,0.017,0.029,0.012,0.001
95,Guaviare,3437,1563,8972,17666,3010,10271,9077,1893,98,283,2829,1353,2755,1116,5,0.053,0.024,0.139,0.275,0.047,0.160,0.141,0.029,0.002,0.004,0.044,0.021,0.043,0.017,0.000
97,Vaupes,1848,1283,3920,11502,1542,6145,3084,1012,203,176,576,357,858,336,42,0.056,0.039,0.119,0.350,0.047,0.187,0.094,0.031,0.006,0.005,0.018,0.011,0.026,0.010,0.001
99,Vichada,6874,1986,7995,21507,2207,9181,7169,1391,199,290,1429,876,1750,573,117,0.108,0.031,0.126,0.338,0.035,0.144,0.113,0.022,0.003,0.005,0.022,0.014,0.028,0.009,0.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
