CODIGO,DEPARTAMENTO,Total,EST_Union_libre,EST_Casado,EST_Divorciado,EST_Separado_de_union_libre,EST_Separado_de_matrimonio,EST_Viudo,EST_Soltero,EST_SININF,EST_Union_libre_Norm,EST_Casado_Norm,EST_Divorciado_Norm,EST_Separado_de_union_libre_Norm,EST_Separado_de_matrimonio_Norm,EST_Viudo_Norm,EST_Soltero_Norm,EST_SININF_Norm
5,Antioquia,5247570,1072324,1230824,49080,131148,156336,228852,2320856,58150,0.204,0.235,0.009,0.025,0.030,0.044,0.442,0.011
8,Atlantico,1975614,540412,443779,10687,101061,41118,74039,743110,21408,0.274,0.225,0.005,0.051,0.021,0.037,0.376,0.011
11,"Bogota,_D0C0",6321329,1427676,1371179,73982,247438,164822,226242,2686010,123980,0.226,0.217,0.012,0.039,0.026,0.036,0.425,0.020
13,Bolivar,1573107,529991,256049,4882,111829,21126,52780,581952,14498,0.337,0.163,0.003,0.071,0.013,0.034,0.370,0.009
15,Boyaca,978726,190098,269600,6884,22413,22402,49956,405521,11852,0.194,0.275,0.007,0.023,0.023,0.051,0.414,0.012
17,Caldas,818410,176244,198080,8655,25498,26242,43925,333227,6539,0.215,0.242,0.011,0.031,0.032,0.054,0.407,0.008
18,Caqueta,295758,91704,46417,1353,16041,5076,10280,112018,12869,0.310,0.157,0.005,0.054,0.017,0.035,0.379,0.044
19,Cauca,1044722,311898,176316,3973,39561,14066,39403,446380,13125,0.299,0.169,0.004,0.038,0.013,0.038,0.427,0.013
20,Cesar,884545,301625,125473,2558,75507,10898,29371,329220,9893,0.341,0.142,0.003,0.085,0.012,0.033,0.372,0.011
23,Cordoba,1289815,464244,178798,3134,81254,12672,47638,492427,9648,0.360,0.139,0.002,0.063,0.010,0.037,0.382,0.007
25,Cundinamarca,2402599,635732,514870,14003,89415,53198,91777,973709,29895,0.265,0.214,0.006,0.037,0.022,0.038,0.405,0.012
27,Choco,353237,132562,25289,790,16052,1766,7941,143043,25794,0.375,0.072,0.002,0.045,0.005,0.022,0.405,0.073
41,Huila,845652,207408,207315,4068,26889,18374,33298,338344,9956,0.245,0.245,0.005,0.032,0.022,0.039,0.400,0.012
44,La_Guajira,629082,238804,48929,1422,40467,4030,13983,266902,14545,0.380,0.078,0.002,0.064,0.006,0.022,0.424,0.023
47,Magdalena,1028746,357968,153295,2861,67139,12008,36050,389765,9660,0.348,0.149,0.003,0.065,0.012,0.035,0.379,0.009
50,Meta,774477,236411,131099,4011,39483,14707,27935,298564,22267,0.305,0.169,0.005,0.051,0.019,0.036,0.386,0.029
52,Narino,1150065,237328,260704,5319,26608,22621,43744,530859,22882,0.206,0.227,0.005,0.023,0.020,0.038,0.462,0.020
54,Norte_de_Santander,1137382,292460,235034,6626,45379,23723,48473,473287,12400,0.257,0.207,0.006,0.040,0.021,0.043,0.416,0.011
63,Quindio,453480,105845,95875,5298,17674,14442,24107,185756,4483,0.233,0.211,0.012,0.039,0.032,0.053,0.410,0.010
66,Risaralda,738112,161424,174429,10036,22046,23464,38594,301186,6933,0.219,0.236,0.014,0.030,0.032,0.052,0.408,0.009
68,Santander,1726573,381428,448546,14056,50068,43026,75138,692690,21621,0.221,0.260,0.008,0.029,0.025,0.044,0.401,0.013
70,Sucre,714956,245834,111434,1781,44625,8769,26579,269081,6853,0.344,0.156,0.002,0.062,0.012,0.037,0.376,0.010
73,Tolima,1059738,295938,207877,6296,40314,22754,51553,423117,11889,0.279,0.196,0.006,0.038,0.021,0.049,0.399,0.011
76,Valle_del_Cauca,3329183,847634,676153,30161,138247,77976,157764,1363129,38119,0.255,0.203,0.009,0.042,0.023,0.047,0.409,0.011
81,Arauca,196019,65138,28429,820,11724,2771,6067,77587,3483,0.332,0.145,0.004,0.060,0.014,0.031,0.396,0.018
85,Casanare,314966,97528,54830,1528,16346,5776,9741,123626,5591,0.310,0.174,0.005,0.052,0.018,0.031,0.393,0.018
86,Putumayo,235965,65288,38555,856,13274,4212,7576,99033,7171,0.277,0.163,0.004,0.056,0.018,0.032,0.420,0.030
88,"Archipielago_de_San_Andres,_Providencia_y_Santa_Catalina",41500,10429,9579,315,1599,711,1204,17054,609,0.251,0.231,0.008,0.039,0.017,0.029,0.411,0.015
91,Amazonas,51278,16759,5506,148,1831,337,1263,20297,5137,0.327,0.107,0.003,0.036,0.007,0.025,0.396,0.100
94,Guainia,33269,10344,3974,64,985,161,710,11545,5486,0.311,0.119,0.002,0.030,0.005,0.021,0.347,0.165
95,Guaviare,60690,19383,7206,254,4077,792,1586,21457,5935,0.319,0.119,0.004,0.067,0.013,0.026,0.354,0.098
97,Vaupes,27630,6953,3499,54,504,118,770,9371,6361,0.252,0.127,0.002,0.018,0.004,0.028,0.339,0.230
99,Vichada,57201,21908,4959,168,2303,332,1252,20293,5986,0.383,0.087,0.003,0.040,0.006,0.022,0.355,0.105
