CODIGO,DEPARTAMENTO,ESTR_Estrato_1,ESTR_Estrato_2,ESTR_Estrato_3,ESTR_Estrato_4,ESTR_Estrato_5,ESTR_Estrato_6,ESTR_SININF,ESTR_Estrato_1_Norm,ESTR_Estrato_2_Norm,ESTR_Estrato_3_Norm,ESTR_Estrato_4_Norm,ESTR_Estrato_5_Norm,ESTR_Estrato_6_Norm,ESTR_SININF_Norm
05,Antioquia,1490049,2198606,1481009,345905,205736,93422,116765,0.251,0.371,0.250,0.058,0.035,0.016,0.020
08,Atlantico,1255983,604410,274770,103983,31609,29185,36494,0.538,0.259,0.118,0.045,0.014,0.012,0.016
11,"Bogota,_D.C.",671690,3002092,2411701,672543,211459,149073,30982,0.094,0.420,0.337,0.094,0.030,0.021,0.004
13,Bolivar,1251652,354961,133112,35501,13932,9912,104386,0.658,0.186,0.070,0.019,0.007,0.005,0.055
15,Boyaca,295322,610235,146265,29083,10195,189,33201,0.263,0.543,0.130,0.026,0.009,0.000,0.030
17,Caldas,250492,334160,223962,51557,13864,21148,19601,0.274,0.365,0.245,0.056,0.015,0.023,0.021
18,Caqueta,224802,47686,10224,1470,38,16,64106,0.645,0.137,0.029,0.004,0.000,0.000,0.184
19,Cauca,788115,166520,66703,28700,7273,1591,176632,0.638,0.135,0.054,0.023,0.006,0.001,0.143
20,Cesar,690305,213681,70660,14975,6814,1628,95520,0.631,0.195,0.065,0.014,0.006,0.001,0.087
23,Cordoba,1249037,160554,44198,11839,3670,2977,79798,0.805,0.103,0.028,0.008,0.002,0.002,0.051
25,Cundinamarca,485852,1399723,701567,95836,16881,14066,54872,0.175,0.506,0.253,0.035,0.006,0.005,0.020
27,Choco,303699,12408,3995,121,13,23,134100,0.668,0.027,0.009,0.000,0.000,0.000,0.295
41,Huila,507090,364240,55321,16038,3266,285,55614,0.506,0.364,0.055,0.016,0.003,0.000,0.056
44,La_Guajira,309958,97424,19004,1406,440,57,390091,0.379,0.119,0.023,0.002,0.001,0.000,0.477
47,Magdalena,833694,154062,132963,22839,5709,7782,103493,0.661,0.122,0.105,0.018,0.005,0.006,0.082
50,Meta,315739,284692,187213,21792,8257,2671,80856,0.350,0.316,0.208,0.024,0.009,0.003,0.090
52,Narino,852145,219763,78776,23950,6598,176,145179,0.642,0.166,0.059,0.018,0.005,0.000,0.109
54,Norte_de_Santander,527864,550419,140942,47537,7404,1395,62182,0.395,0.411,0.105,0.036,0.006,0.001,0.046
63,Quindio,146256,192291,107414,26276,21420,3155,8799,0.289,0.380,0.212,0.052,0.042,0.006,0.017
66,Risaralda,207509,298927,198317,68544,30179,18955,12329,0.249,0.358,0.238,0.082,0.036,0.023,0.015
68,Santander,697152,609485,401664,201856,31548,23684,26640,0.350,0.306,0.202,0.101,0.016,0.012,0.013
70,Sucre,666672,130667,21424,6650,1488,810,32414,0.775,0.152,0.025,0.008,0.002,0.001,0.038
73,Tolima,456446,524421,157302,36109,6611,1484,35127,0.375,0.431,0.129,0.030,0.005,0.001,0.029
76,Valle_del_Cauca,1047050,1369162,868663,223381,144163,44739,65071,0.278,0.364,0.231,0.059,0.038,0.012,0.017
81,Arauca,163514,37850,6974,702,22,14,27670,0.691,0.160,0.029,0.003,0.000,0.000,0.117
85,Casanare,186347,120052,32462,3631,158,29,31949,0.497,0.320,0.087,0.010,0.000,0.000,0.085
86,Putumayo,181740,25278,2490,115,36,63,67755,0.655,0.091,0.009,0.000,0.000,0.000,0.244
88,"Archipielago_de_San_Andres,_Providencia_y_Santa_Catalina",13143,22060,10260,1048,431,128,764,0.275,0.461,0.214,0.022,0.009,0.003,0.016
91,Amazonas,21830,10677,4975,233,25,5,24453,0.351,0.172,0.080,0.004,0.000,0.000,0.393
94,Guainia,14385,4041,334,14,5,1,18802,0.383,0.108,0.009,0.000,0.000,0.000,0.500
95,Guaviare,34501,12232,1988,39,17,6,18244,0.515,0.182,0.030,0.001,0.000,0.000,0.272
97,Vaupes,7806,699,211,10,1,6,20230,0.270,0.024,0.007,0.000,0.000,0.000,0.698
99,Vichada,19779,3889,521,14,4,1,47197,0.277,0.054,0.007,0.000,0.000,0.000,0.661
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
