CODIGO,DEPARTAMENTO,SER_Energia_electrica_Si,SER_Energia_electrica_No,SER_Acueducto_Si,SER_Acueducto_No,SER_Alcantarillado_Si,SER_Alcantarillado_No,SER_Gas_natural_Si,SER_Gas_natural_No,SER_Gas_natural_Sin_informacion,SER_Basuras_Si,SER_Basuras_No,SER_Internet_Si,SER_Internet_No,SER_Internet_Sin_informacion,SER_Energia_electrica_Si_Norm,SER_Energia_electrica_No_Norm,SER_Acueducto_Si_Norm,SER_Acueducto_No_Norm,SER_Alcantarillado_Si_Norm,SER_Alcantarillado_No_Norm,SER_Gas_natural_Si_Norm,SER_Gas_natural_No_Norm,SER_Gas_natural_Sin_informacion_Norm,SER_Basuras_Si_Norm,SER_Basuras_No_Norm,SER_Internet_Si_Norm,SER_Internet_No_Norm,SER_Internet_Sin_informacion_Norm
05,Antioquia,1910386,23197,1741310,192273,1597608,335975,1194873,726032,12678,1720765,212818,1007573,913146,12864,0.988,0.012,0.901,0.099,0.826,0.174,0.618,0.375,0.007,0.890,0.110,0.521,0.472,0.007
08,Atlantico,591697,6482,576711,21468,511207,86972,535085,59552,3542,565186,32993,274001,320552,3626,0.989,0.011,0.964,0.036,0.855,0.145,0.895,0.100,0.006,0.945,0.055,0.458,0.536,0.006
11,"Bogota,_D.C.",2339400,5790,2332920,12270,2325515,19675,2183785,131835,29570,2329993,15197,1748648,566617,29925,0.998,0.002,0.995,0.005,0.992,0.008,0.931,0.056,0.013,0.994,0.006,0.746,0.242,0.013
13,Bolivar,482243,26926,400728,108441,259262,249907,355014,151530,2625,362286,146883,134641,371856,2672,0.947,0.053,0.787,0.213,0.509,0.491,0.697,0.298,0.005,0.712,0.288,0.264,0.730,0.005
15,Boyaca,358502,10609,315674,53437,233357,135754,191122,174513,3476,236721,132390,90750,274840,3521,0.971,0.029,0.855,0.145,0.632,0.368,0.518,0.473,0.009,0.641,0.359,0.246,0.745,0.010
17,Caldas,300623,3886,270261,34248,247395,57114,191171,111351,1987,249435,55074,130032,172438,2039,0.987,0.013,0.888,0.112,0.812,0.188,0.628,0.366,0.007,0.819,0.181,0.427,0.566,0.007
18,Caqueta,93242,17283,80362,30163,72630,37895,40608,67966,1951,80237,30288,16740,91374,2411,0.844,0.156,0.727,0.273,0.657,0.343,0.367,0.615,0.018,0.726,0.274,0.151,0.827,0.022
19,Cauca,336910,30883,239233,128560,163290,204503,101100,264114,2579,163693,204100,57774,307230,2789,0.916,0.084,0.650,0.350,0.444,0.556,0.275,0.718,0.007,0.445,0.555,0.157,0.835,0.008
20,Cesar,279957,16578,250721,45814,219074,77461,192045,102382,2108,228850,67685,76308,218026,2201,0.944,0.056,0.846,0.154,0.739,0.261,0.648,0.345,0.007,0.772,0.228,0.257,0.735,0.007
23,Cordoba,395853,16026,280367,131512,171842,240037,194127,215661,2091,217204,194675,72344,337380,2155,0.961,0.039,0.681,0.319,0.417,0.583,0.471,0.524,0.005,0.527,0.473,0.176,0.819,0.005
25,Cundinamarca,885722,14018,807017,92723,690966,208774,624544,268719,6477,739380,160360,377456,515669,6615,0.984,0.016,0.897,0.103,0.768,0.232,0.694,0.299,0.007,0.822,0.178,0.420,0.573,0.007
