,COD_DEPARTAMENTO,NOM_DEPARTAMENTO,COD_MUNICIPIO,NOM_MUNICIPIO,ALF_Sabe_Leer,ALF_No_Sabe_Leer,ALF_SININF,EDAD_0-4,EDAD_5-9,EDAD_10-14,EDAD_15-19,EDAD_20-24,EDAD_25-29,EDAD_30-34,EDAD_35-39,EDAD_40-44,EDAD_45-49,EDAD_50-54,EDAD_55-59,EDAD_60-64,EDAD_65-69,EDAD_70-74,EDAD_75-79,EDAD_80-84,EDAD_85_y_mas,ED_Ninguno,ED_Preescolar,ED_Primaria_Completa,ED_Primaria_Incompleta,ED_Secundaria_Completa,ED_Secundaria_Incompleta,ED_Media_Completa,ED_Media_Incompleta,ED_Ordinaria_Completa,ED_Ordinaria_Incompleta,ED_Tecnico,ED_Tecnologico,ED_Universitario,ED_Postgrado,ED_SININF,ET_Indigena,ET_Gitano,ET_Raizal,ET_Palenquero,ET_Negro,ET_NOETNIA,ET_SININF,EST_Union_libre,EST_Casado,EST_Divorciado,EST_Separado_de_union_libre,EST_Separado_de_matrimonio,EST_Viudo,EST_Soltero,EST_SININF,SAN_Inodoro-alcantarillado,SAN_Inodoro-pozo_septico,SAN_Inodoro_sin_conexion,SAN_Letrina,SAN_Inodoro-fuentes_de_agua,SAN_Sin_servicio_sanitario,SAN_SININF,SER_Energia_electrica_Si,SER_Energia_electrica_No,SER_Acueducto_Si,SER_Acueducto_No,SER_Alcantarillado_Si,SER_Alcantarillado_No,SER_Gas_natural_Si,SER_Gas_natural_No,SER_Gas_natural_Sin_informacion,SER_Basuras_Si,SER_Basuras_No,SER_Internet_Si,SER_Internet_No,SER_Internet_Sin_informacion,SX_Hombre,SX_Mujer,TH_Pareja_joven_sin_hijos,TH_Etapa_inicial,TH_Etapa_de_expansion_,TH_Etapa_de_consolidacion_,TH_Etapa_de_salida_,TH_Pareja_mayor_sin_hijos
0,5,ANTIOQUIA,5001,MEDELLIN,1885931,45464,24478,122409,130298,153496,184184,226773,222810,194886,180924,146411,145382,157533,142210,113475,86876,62325,43895,29495,28948,54515,39719,237527,282905,85038,276902,558560,58394,2270,10421,155327,89951,280569,82299,35524,1987,48,312,63,58918,2269772,28701,376852,490366,23548,40050,69441,97838,992847,28681,764289,17862,943,110,7906,864,6089,794197,3866,785215,12848,775334,22729,612660,179248,6155,789247,8816,528711,263142,6210,1115273,1257057,39343,53407,78426,144956,221323,57783
1,5,ANTIOQUIA,5002,ABEJORRAL,12525,1416,87,923,1135,1490,1606,1232,1084,1046,1256,1178,1079,1134,1102,1080,781,561,427,274,211,1230,317,2690,6374,550,2233,1760,366,50,77,220,213,304,149,143,2,0,0,0,62,17402,107,2906,4772,70,365,530,797,5993,108,2493,2041,1241,18,119,14,9,5876,59,4073,1862,2590,3345,1476,4450,9,2577,3358,1136,4790,9,9139,8460,199,342,664,1251,1184,736
2,5,ANTIOQUIA,5004,ABRIAQUI,1570,119,17,131,135,169,212,176,125,153,154,141,125,153,126,96,80,68,55,42,18,99,31,293,591,70,267,368,70,11,13,67,40,58,23,27,0,1,0,0,28,2088,24,296,598,4,26,62,87,800,20,340,109,21,11,237,17,3,699,39,484,254,376,362,53,682,3,314,424,76,659,3,1171,988,14,50,74,162,140,87
3,5,ANTIOQUIA,5021,ALEJANDRIA,2688,253,28,253,283,321,322,263,256,261,291,195,220,256,236,193,146,106,107,64,66,166,117,420,1351,94,479,474,74,6,8,116,98,112,28,43,0,0,0,0,12,3784,30,664,993,22,56,94,200,1245,29,792,528,17,4,20,3,7,1356,15,1003,368,802,569,35,1329,7,816,555,186,1178,7,1912,1927,45,78,172,277,244,172
4,5,ANTIOQUIA,5030,AMAGA,19964,1634,72,1455,1587,1996,2290,2321,2286,1892,2025,1572,1793,1904,1700,1326,970,681,463,277,283,1400,451,3801,5728,1058,4097,5204,692,120,106,1176,424,792,189,128,9,2,0,3,125,26474,74,5688,5124,140,767,747,1217,10023,73,7607,562,98,18,363,65,12,8613,112,8339,386,8092,633,4441,4269,15,7315,1410,2174,6536,15,13242,13579,394,618,999,1814,2255,912
5,5,ANTIOQUIA,5031,AMALFI,13528,1561,93,1317,1662,1980,2110,1721,1631,1464,1407,1102,1194,1214,954,787,620,415,299,195,193,1785,383,2628,5710,720,2799,2736,455,22,29,616,270,480,137,178,2,1,0,0,102,19919,117,4758,3110,84,591,463,712,7459,109,3677,753,262,57,1608,199,14,5919,651,3877,2693,3715,2855,2220,4336,14,4151,2419,1421,5135,14,10177,10088,262,487,930,1699,1014,544
6,5,ANTIOQUIA,5034,ANDES,26162,2923,158,2207,2613,3006,3457,3321,2873,2630,2689,2508,2396,2345,2173,1950,1475,1053,653,405,390,2873,595,5278,10725,1157,5098,5747,906,24,52,776,524,1280,273,629,233,0,2,1,219,36408,164,6486,9132,221,826,1197,1604,13356,502,6417,1819,520,29,3173,84,36,11943,135,8220,3858,6547,5531,1653,10391,34,8569,3509,2401,9643,34,19777,18367,506,847,1501,2788,2446,1338
7,5,ANTIOQUIA,5036,ANGELOPOLIS,3602,382,13,280,333,403,465,396,369,343,332,308,310,315,334,265,187,151,114,63,59,357,140,754,1381,147,734,678,136,3,12,206,77,81,18,23,3,0,0,0,27,4973,10,1242,881,28,340,140,258,1510,15,1049,389,38,2,219,15,4,1690,26,1520,196,1103,613,599,1113,4,1388,328,638,1074,4,2538,2489,64,112,181,380,349,202
8,5,ANTIOQUIA,5038,ANGOSTURA,6887,1062,26,700,806,1019,1098,891,803,741,730,612,575,546,567,463,357,234,160,108,90,950,223,1643,3255,320,1323,1288,255,9,18,215,49,140,32,80,0,4,0,4,49,10419,24,1631,2448,36,291,224,436,3899,29,718,829,667,14,840,54,12,3072,62,2331,803,764,2370,15,3107,12,967,2167,269,2853,12,5327,5173,127,276,466,882,627,278
9,5,ANTIOQUIA,5040,ANORI,9191,1112,54,1118,1408,1594,1485,1336,1325,1130,951,793,776,693,546,418,303,254,160,121,91,1162,451,1902,4561,449,1793,1882,351,14,14,281,129,213,65,117,167,0,0,0,244,13988,78,3957,1903,57,640,255,423,4663,78,1730,472,805,12,1196,341,41,4069,528,2395,2202,1839,2758,30,4526,41,2533,2064,468,4088,41,7504,6998,252,423,725,1130,581,332
