,nom_dep,DPTO_CCDGO,ET_NOETNIA_SHAP,EDAD_20-24_SHAP,EST_Viudo_SHAP,ET_Indigena_SHAP,TH_Pareja_mayor_sin_hijos_SHAP,EDAD_55-59_SHAP,ED_Primaria_Completa_SHAP,EDAD_50-54_SHAP,EDAD_25-29_SHAP,EDAD_60_o_mas_SHAP,TH_Etapa_inicial_SHAP,EST_Divorciado_SHAP,EDAD_30-34_SHAP,EST_Union_libre_SHAP,TH_Etapa_de_expansion__SHAP,ALF_SININF_SHAP,TH_Etapa_de_salida__SHAP,EDAD_19_o_menor_SHAP,ED_SININF_SHAP,ET_SININF_SHAP,EDAD_35-39_SHAP,EST_SININF_SHAP,SX_Mujer_SHAP,SX_Hombre_SHAP,TH_Etapa_de_consolidacion__SHAP,ED_Tecnico_SHAP,ED_Media_Incompleta_SHAP,EST_Soltero_SHAP,SER_Internet_Sin_informacion_SHAP,SAN_Inodoro-alcantarillado_SHAP,SER_Alcantarillado_Si_SHAP,ED_Primaria_Incompleta_SHAP,EST_Separado_de_union_libre_SHAP,ED_Tecnologico_SHAP,ALF_Sabe_Leer_SHAP,ED_Postgrado_SHAP,SER_Internet_No_SHAP,ALF_No_Sabe_Leer_SHAP,ED_Media_Completa_SHAP,ET_Raizal_SHAP,ED_Ordinaria_Completa_SHAP,ED_Preescolar_SHAP,ED_Ninguno_SHAP,SAN_Inodoro-pozo_septico_SHAP,ED_Universitario_SHAP
0,AMAZONAS,91,-0.080420367,-0.021358925,0.002991994,-0.034247105,-0.030752741,-0.00443592,-0.000411475,-0.009962231,-0.001508292,-0.000561353,-0.004183118,-0.014304404,-0.00281309,0.0063445,0.009188055,-0.028635613,0.008232384,0.012133827,-0.000863539,-0.003700027,0.025442394,-0.00180241,0.02725045,0.019385232,-0.015553126,0.004900897,-0.008704912,0.003187566,-0.006833942,0.002472318,-0.007082519,0.002039283,-0.000747992,0.00082258,0.007069113,-0.0000923,-0.035579987,0.001286969,0.004848694,-0.000191475,-0.007616913,0.000107537,-0.0060668,0.004514593,-0.003673235
1,ANTIOQUIA,5,-0.035160583,-0.011511942,-0.001897242,0.01907376,0.002283852,0.039560338,-0.015236688,0.010778323,-0.010272597,-0.002891713,0.003984377,0.025904131,-0.014694479,0.00638119,-0.010447622,0.007669922,-0.005300415,-0.008252056,-0.000366807,0.005857539,-0.034313828,0.001475596,-0.023097173,-0.030289108,0.000891683,-0.013923469,0.026627758,0.005384892,0.001006053,-0.008061764,0.003216975,-0.001484843,0.015051995,-0.00719841,-0.004938677,0.001101307,0.003063204,-0.00348162,-0.008762858,-0.0000542,-0.001078431,-0.00063583,-0.017251889,-0.002224294,-0.000674724
2,ARAUCA,81,-0.005204846,-0.020153977,0.003677885,0.017017459,-0.007543962,-0.003684073,0.034952243,0.011720814,-0.011712662,-0.007636946,-0.001048416,-0.003917143,-0.007980125,0.000921184,0.014878832,0.009304768,0.015948295,0.006896055,-0.004890788,0.007264142,0.001373139,-0.00366964,0.014210775,0.020859779,0.002927576,0.00638389,0.002380417,0.004246734,0.004246941,0.006577678,0.009982176,0.020990918,0.000194783,0.005128842,0.010869814,0.000393032,0.005575661,0.0000405,0.010486863,-0.00118062,-0.000822873,0.008126732,0.008793815,-0.003870121,0.003958859
3,ATLANTICO,8,-0.02888811,-0.014226661,-0.009303497,-0.001461902,-0.010467554,-0.026367102,-0.063487127,-0.006027772,-0.006694122,0.001844002,0.000311442,0.001288971,-0.007702676,-0.004854634,-0.015621969,0.006458739,-0.014656033,-0.015690934,-0.001275095,0.003169927,-0.021411364,-0.002271218,-0.018792139,-0.01738146,0.002501583,-0.029096702,-0.012617867,-0.003456683,-0.002498627,-0.013993383,-0.009436057,-0.007464148,-0.000592209,-0.008064645,-0.009047809,0.001063492,0.002173348,-0.004926392,-0.034691516,-0.003178482,-0.001144126,-0.008981263,-0.025812355,-0.002106354,-0.004410704
4,BOGOTA D.C.,11,0.08432219,-0.017182158,-0.006545092,0.026643836,0.003187033,-0.000840185,-0.034717853,-0.001158661,0.001995379,0.0000485,0.001225286,0.022562931,-0.001628979,0.002293873,-0.005219772,-0.007674444,-0.015085527,-0.018275807,0.006882534,-0.006931094,-0.026659971,-0.009504701,-0.020857507,-0.012589177,0.004254507,-0.045958808,0.017206489,0.001067905,-0.002246161,-0.007192325,-0.007467474,-0.034679976,0.000684138,-0.005816022,-0.00813092,-0.006946301,0.002115605,-0.00337276,-0.006001526,0.000495793,0.000859594,-0.004252828,-0.019185121,0.000425479,-0.005304942
5,BOLIVAR,13,-0.044848222,0.016971432,-0.005041318,0.028414893,0.007327079,-0.01978617,-0.034021701,-0.001605603,0.007265214,0.00264729,-0.000193633,-0.016682989,0.000522307,-0.002737384,-0.00469693,0.007113287,0.001265904,-0.002320415,-0.004000467,0.000373576,0.019660719,-0.00345808,0.001169721,0.001157015,0.005527539,-0.025325818,-0.016467759,-0.0000928,-0.001381043,0.009714871,0.000495929,-0.022510851,-0.012355644,-0.008250125,0.00554167,0.000728758,0.003226222,0.000709022,-0.010786153,-0.005066051,0.003148503,-0.003133436,0.000960392,0.000390508,-0.001191256
6,BOYACA,15,0.13236156,0.024869553,0.018056638,0.017325541,0.015527984,-0.014102154,0.019758617,-0.002245086,0.00377293,0.014523213,0.004581983,0.011354267,0.017157259,-0.006235498,-0.004061001,0.006499451,0.001764486,-0.001864334,0.007456988,0.005241526,0.01672582,0.003827512,-0.011340855,-0.007074053,0.003333345,0.023189477,0.003353968,0.004824489,0.001198073,0.001703536,0.007963396,0.002012137,0.005473948,0.005071135,-0.003620658,-0.008038251,0.000293568,-0.000589217,0.006295289,0.001496131,0.001013524,-0.002171,-0.003398328,0.001702769,-0.000377841
7,CALDAS,17,-0.019448892,0.032286686,0.023106272,-0.001370866,0.010274154,0.030263901,0.006478197,0.01181031,0.003378803,0.002650679,0.021584468,0.015649701,0.010540124,0.001802086,-0.004299064,0.007454955,-0.009467544,0.00285294,0.00037379,0.002424285,0.009059245,0.000205071,-0.007842086,-0.016085206,-0.005152435,0.006704288,0.008048457,0.003710765,0.002994461,-0.006731363,0.004672006,-0.00072382,0.007351321,-0.006550407,-0.004722885,0.001075514,0.003392871,0.000613772,-0.000319033,0.001038339,0.004049326,-0.004556202,-0.015614306,0.000615912,-0.000450155
8,CAQUETA,18,0.00489242,-0.01816521,-0.002485034,0.018509369,0.009322887,-0.002561622,0.020882851,0.015408542,-0.003386247,0.006508449,-0.000845853,0.008767776,0.004143815,0.002454264,0.014011592,0.001800928,0.012795636,0.011297879,0.005337878,-0.009486574,0.02264431,0.016351392,0.023459329,0.019557921,0.002479408,0.012329427,0.00342733,0.004891988,-0.00433494,0.004982437,0.014210185,0.018558872,-0.001638061,0.00628804,0.009619292,0.000628093,0.005336809,0.003895241,0.007855247,0.002069155,0.001299807,0.00287987,0.009966943,0.000759738,0.006787361
9,CASANARE,85,0.087823687,-0.001457325,-0.001910836,0.016924124,0.012871227,-0.00375611,0.037836822,0.007662462,-0.004937221,-0.008392094,-0.00000459,0.003445018,-0.002215708,-0.0000585,0.01236751,0.006587727,0.01667228,0.003557378,-0.004425089,0.005833827,-0.036865317,0.004352013,0.017248004,0.010295797,0.002557752,0.012555696,0.000885906,0.003891207,0.00302777,0.005997667,0.016947032,0.006958053,0.000575063,0.006269798,-0.007411605,0.000305278,0.005119667,0.004609147,0.0058681,0.001038778,0.0004519,0.00759613,-0.008075516,0.000902162,0.001404924
