,DPTO_CCDGO_NEW,DPTO_CCDGO,Departamento,Total_votos,votos_en_blanco,votos_no_marcados,votos_nulos,Total_votos_No_Validos,votos_en_blanco_Norm,votos_no_marcados_Norm,votos_nulos_Norm,Total_votos_No_Validos_Norm,Total_Partidos,Total_Partidos_95,Partido_1,Partido_2,Partido_3,Partido_4,Partido_5
0,169,13,BOLIVAR,782184,30647,26854,73391,130892,0.039181318,0.034332075,0.093828306,0.16734169965123297,43,6,PARTIDO CONSERVADOR COLOMBIANO: 0.275,PARTIDO CAMBIO RADICAL: 0.257,PARTIDO LIBERAL COLOMBIANO: 0.147,PARTIDO DE LA U: 0.118,PARTIDO CENTRO DEMOCRÁTICO: 0.087
1,100,9,CONSULADOS,126917,6922,2391,8436,17749,0.054539580985998724,0.018839084,0.066468637,0.1398473017799034,44,7,PARTIDO CENTRO DEMOCRÁTICO: 0.366,PARTIDO POLITICO MIRA: 0.177,PARTIDO ALIANZA VERDE: 0.136,PARTIDO DE LA U: 0.126,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO: 0.053
2,153,19,CAUCA,443726,30392,24957,43814,99163,0.068492718,0.056244169,0.098741115,0.223478002,43,10,PARTIDO LIBERAL COLOMBIANO: 0.279,PARTIDO DE LA U: 0.229,PARTIDO CONSERVADOR COLOMBIANO: 0.086,PARTIDO CENTRO DEMOCRÁTICO: 0.079,PARTIDO POLITICO MIRA: 0.061
3,168,23,CORDOBA,718768,28289,40997,48567,117853,0.039357623,0.057037875921020414,0.067569786,0.1639652850432963,43,5,PARTIDO DE LA U: 0.452,PARTIDO LIBERAL COLOMBIANO: 0.213,PARTIDO CONSERVADOR COLOMBIANO: 0.169,PARTIDO CENTRO DEMOCRÁTICO: 0.091,COALICION COLOMBIA: 0.020
4,177,25,CUNDINAMARCA,932378,107573,25806,123041,256420,0.11537488014517717,0.027677615730958904,0.13196471817224345,0.27501721404837953,45,9,PARTIDO CAMBIO RADICAL: 0.209,PARTIDO CENTRO DEMOCRÁTICO: 0.183,PARTIDO DE LA U: 0.127,PARTIDO CONSERVADOR COLOMBIANO: 0.115,PARTIDO LIBERAL COLOMBIANO: 0.108
5,166,27,CHOCO,151742,3538,5040,14974,23552,0.023315891447325064,0.033214272,0.098680655,0.1552108183627473,40,5,PARTIDO LIBERAL COLOMBIANO: 0.345,PARTIDO DE LA U: 0.322,PARTIDO CAMBIO RADICAL: 0.200,C.C. ANCESTRAL DE COMUNIDADES NEGRAS PLAYA RENACIENTE: 0.052,PARTIDO POLITICO MIRA: 0.024
6,181,41,HUILA,411825,26544,14819,34899,76262,0.064454562,0.035983730953681785,0.084742306,0.18518059855521155,44,7,PARTIDO CONSERVADOR COLOMBIANO: 0.203,PARTIDO CAMBIO RADICAL: 0.173,PARTIDO CENTRO DEMOCRÁTICO: 0.146,PARTIDO LIBERAL COLOMBIANO: 0.143,PARTIDO DE LA U: 0.136
7,182,68,SANTANDER,847540,82581,24765,79470,186816,0.097436109,0.02921986,0.093765486,0.22042145503457064,44,8,PARTIDO LIBERAL COLOMBIANO: 0.332,PARTIDO CENTRO DEMOCRÁTICO: 0.209,COALICION ALTERNATIVA SANTANDEREANA AS: 0.106,PARTIDO CAMBIO RADICAL: 0.099,PARTIDO CONSERVADOR COLOMBIANO: 0.092
8,167,52,NARIÑO,591795,42570,18683,50592,111845,0.071933693,0.031570054,0.085489063,0.18899281001022314,43,7,PARTIDO CONSERVADOR COLOMBIANO: 0.293,PARTIDO LIBERAL COLOMBIANO: 0.158,PARTIDO DE LA U: 0.143,PARTIDO CAMBIO RADICAL: 0.139,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO: 0.126
9,178,54,NORTE DE SANTANDER,605677,29667,15483,54324,99474,0.048981552873891526,0.02556313,0.08969137,0.1642360532098792,42,5,PARTIDO LIBERAL COLOMBIANO: 0.227,PARTIDO CONSERVADOR COLOMBIANO: 0.189,PARTIDO CAMBIO RADICAL: 0.189,PARTIDO DE LA U: 0.179,PARTIDO CENTRO DEMOCRÁTICO: 0.152
10,152,18,CAQUETA,114190,6063,3722,8881,18666,0.053095717663543214,0.032594798,0.077773886,0.16346440143620283,40,5,PARTIDO LIBERAL COLOMBIANO: 0.331,PARTIDO CENTRO DEMOCRÁTICO: 0.243,PARTIDO ALIANZA SOCIAL INDEPENDIENTE: 0.204,PARTIDO POLITICO MIRA: 0.114,PARTIDO SOMOS: 0.048
11,156,94,GUAINIA,16062,277,292,680,1249,0.017245673017058896,0.018179554227368944,0.042335948,0.077761175,30,5,PARTIDO CAMBIO RADICAL: 0.260,PARTIDO DE LA U: 0.253,PARTIDO CENTRO DEMOCRÁTICO: 0.237,PARTIDO ALIANZA SOCIAL INDEPENDIENTE: 0.129,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.047
